NP,CLAVE,NOMBRE
428,2073100003,DIBUJO INDUSTRIAL Y ARQUITECTONICO
429,2073100004,DIAGNOSTICO REGIONAL
430,2081000001,TÉCNICO EN APICULTURA   
431,2081100001,AGROPECUARIO
432,2081100002,SISTEMAS DE PRODUCCIÓN AGRÍCOLA
433,2081100003,TÉCNICO AGROPECUARIO
434,2081100004,TECNICO EN AGRICULTURA SUSTENTABLE
435,2081100005,TÉCNICO AGROPECUARIO CON INFORMÁTICA
436,2081200001,JARDINERÍA
437,2081200002,TÉCNICO PROFESIONAL EN JARDINERIA
438,2081300001,FORESTAL
439,2081400001,TÉCNICO PROFESIONAL EN ACUACULTURA
440,2091342001,PROFESIONAL TÉCNICO EN RADIOLOGÍA    
441,2091345001,TÉCNICO EN ANÁLISIS CLÍNICOS  
442,2092100001,AUXILIAR DE ENFERMERÍA
443,2092100002,CUIDADOS MATERNO INFANTIL
444,2092100003,ENFERMERA GINECO-OBSTETRA
445,2092100004,ENFERMERÍA
446,2092100005,ENFERMERÍA GENERAL
447,2092100006,ENFERMERÍA Y OBSTETRICIA
448,2092100007,PARTERA
449,2092100008,ENFERMERÍA TÉCNICA
450,2092100009,ENFERMERÍA QUIRÚRGICA
451,2092100010,ENFERMERÍA PEDIÁTRICA
452,2092100011,ENFERMERÍA DE CUIDADOS INTENSIVOS
453,2092100012,ENFERMERÍA SANITARÍA
454,2092100013,PARTERÍA PROFESIONAL
455,2092100014,TÉCNICO PROFESIONAL EN ENFERMERÍA GENERAL   
456,2092100015,TÉCNICO PROFESIONAL EN ENFERMERÍA
457,2092100016,ENFERMERO (A) GENERAL
458,2092100017,ENFERMERÍA BÁSICA
459,2092202001,CURSO POST BASICO DE ENFERMERIA EN CUIDADOS INTENSIVOS
460,2092203001,CURSO POST BASICO DE ENFERMERIA EN CUIDADOS INTENSIVOS ADULTOS
461,2092207001,ENFERMERA MÉDICO QUIRÚRGICA
462,2092207002,CURSO POST BASICO DE ENFERMERIA QUIRURGICA
463,2092208001,CURSO POST BASICO DE ENFERMERIA EN MEDICINA DE FAMILIA
464,2092208002,TÉCNICO ESPECIALIZADO EN CUIDADOS MATERNO INFANTIL  
465,2093100001,DENTAL
466,2093100002,PRÓTESIS DENTAL
467,2093100003,PRÓTESIS DENTAL EN ÁREAS DE CERÁMICA
468,2093100004,PRÓTESIS DENTAL EN ÁREAS DE ORTODONCIA Y ORTOPEDIA
469,2093100005,PRÓTESIS DENTAL EN ÁREAS DE PRÓTESIS E IMPLANTACIÓN
470,2093100006,PRÓTESIS DENTAL EN ÁREAS DE REHABILITACIÓN
471,2093100007,TÉCNICO DENTAL   
472,2093100008,TÉCNICO PROFESIONAL EN PRÓTESIS DENTAL EN EL ÁREA DE PRÓTESIS A IMPLANTES  
473,2093204001,TÉCNICO PROFESIONAL EN PRÓTESIS DENTAL EN EL ÁREA DE ORTODONCIA Y ORTOPEDIA  
