NP,CLAVE,NOMBRE
187,6041400002,ESPECIALIDAD EN ADMINISTRACIÓN TRIBUTARIA
188,6041400004,ESPECIALIDAD EN AUDITORÍA FINANCIERA
189,6041400005,ESPECIALIDAD EN AUDITORÍA Y FINANZAS
190,6041400006,ESPECIALIDAD EN CONTADURÍA Y NORMAS DE INFORMACIÓN FINANCIERA
191,6041400007,ESPECIALIDAD EN CONTRIBUCIONES FISCALES
192,6041400008,ESPECIALIDAD EN ESTRATEGIAS FISCALES
193,6041400009,ESPECIALIDAD EN FISCAL
194,6041400010,ESPECIALIDAD EN IMPUESTOS
195,6041400011,ESPECIALIDAD EN IMPUESTOS INTERNACIONALES
196,6041400012,ESPECIALIDAD EN MATERIA TRIBUTARIA
197,6041400013,ESPECIALIDAD EN OBLIGACIONES TRIBUTARIAS
198,6041400014,ESPECIALIDAD EN PLANEACIÓN FISCAL
199,6042500003,ESPECIALIDAD EN ADMINISTRACIÓN DE INSTITUCIONES EDUCATIVAS
200,6011200016,ESPECIALIDAD EN ADMINISTRACIÓN EDUCATIVA
201,6042500004,ESPECIALIDAD EN ADMINISTRACIÓN ESCOLAR
202,6042500006,ESPECIALIDAD EN GESTIÓN DE INSTITUCIONES EDUCATIVAS
203,6011200017,ESPECIALIDAD EN GESTIÓN EDUCATIVA
204,6042500007,ESPECIALIDAD EN GESTIÓN ESCOLAR
205,6042100011,ESPECIALIDAD EN ADMINISTRACIÓN DE EMPRESAS PEQUEÑAS Y MEDIANAS
206,6042100013,ESPECIALIDAD EN ADMINISTRACIÓN DE LA PEQUEÑA Y MEDIANA EMPRESA
207,6042100014,ESPECIALIDAD EN ADMINISTRACIÓN DE NEGOCIOS
208,6042100015,ESPECIALIDAD EN ADMINISTRACIÓN DE PEQUEÑAS EMPRESAS
209,6042100016,ESPECIALIDAD EN ADMINISTRACIÓN DE PROYECTOS
210,6042100017,ESPECIALIDAD EN ADMINISTRACIÓN DE RECURSOS HUMANOS
211,6041300020,ESPECIALIDAD EN ADMINISTRACIÓN DE RIESGOS
212,6041300021,ESPECIALIDAD EN ADMINISTRACIÓN DE RIESGOS FINANCIEROS
213,6041100044,ESPECIALIDAD EN ADMINISTRACIÓN DEL COMERCIO EXTERIOR
214,6042400001,ESPECIALIDAD EN ADMINISTRACIÓN Y CONTROL DE CALIDAD
215,6042100019,ESPECIALIDAD EN ADMINISTRACIÓN Y EVALUACIÓN DE PROYECTOS
216,6042100020,"ESPECIALIDAD EN ADMINISTRACIÓN, CAPACITACIÓN Y DESARROLLO DE RECURSOS HUMANOS"
217,6042100021,ESPECIALIDAD EN ALTA DIRECCIÓN
218,6042100022,ESPECIALIDAD EN ASEGURAMIENTO DE LA CALIDAD
219,6042100023,ESPECIALIDAD EN CREACIÓN DE MICROEMPRESAS
220,6042100024,ESPECIALIDAD EN DESARROLLO ORGANIZACIONAL
221,6042100026,ESPECIALIDAD EN DIRECCIÓN
222,6042100027,ESPECIALIDAD EN DIRECCIÓN DE RECURSOS HUMANOS
223,6042100028,ESPECIALIDAD EN DIRECCIÓN DE SISTEMAS DE CALIDAD
224,6042100029,ESPECIALIDAD EN DIRECCIÓN EMPRESARIAL
225,6042100030,ESPECIALIDAD EN DIRECCIÓN Y ADMINISTRACIÓN DEL CAPITAL HUMANO
226,6042100031,ESPECIALIDAD EN FACTOR HUMANO
227,6042100032,ESPECIALIDAD EN GERENCIA DE PROYECTOS
228,6042100033,ESPECIALIDAD EN GERENCIA INTERNACIONAL
229,6042100034,ESPECIALIDAD EN GESTIÓN DE LA CALIDAD
230,6042100035,ESPECIALIDAD EN GESTIÓN DE LA CALIDAD TOTAL
231,6042100036,ESPECIALIDAD EN GESTIÓN DE RECURSOS HUMANOS
232,6042100037,ESPECIALIDAD EN GESTIÓN DEL CAMBIO E INNOVACIÓN
233,6042100038,ESPECIALIDAD EN GESTIÓN DEL CAPITAL HUMANO
234,6042100039,ESPECIALIDAD EN GESTIÓN EMPRESARIAL
235,6042100040,ESPECIALIDAD EN GESTIÓN Y DESARROLLO DE RECURSOS HUMANOS
236,6101600003,ESPECIALIDAD EN GRUPOS Y CONVENCIONES
237,6042100041,ESPECIALIDAD EN HABILIDADES DIRECTIVAS
238,6042100042,ESPECIALIDAD EN ISO 14001
239,6042100043,ESPECIALIDAD EN LIDERAZGO Y DESARROLLO EJECUTIVO
240,6042100045,ESPECIALIDAD EN PERFECCIONAMIENTO DE COMPETENCIAS GERENCIALES
241,6042100046,ESPECIALIDAD EN RECURSOS HUMANOS
242,6042100047,ESPECIALIDAD EN RELACIONES LABORALES
243,6042300002,ESPECIALIDAD EN ADMINISTRACIÓN PÚBLICA
244,6042300003,ESPECIALIDAD EN ADMINISTRACIÓN PÚBLICA ESTATAL Y MUNICIPAL
245,6042300004,ESPECIALIDAD EN GERENCIA PÚBLICA EN POLÍTICA SOCIAL
246,6042300005,ESPECIALIDAD EN GOBIERNO Y ADMINISTRACIÓN PÚBLICA
247,6042400004,ESPECIALIDAD EN ADMINISTRACIÓN DE LA TECNOLOGÍA
248,6042400005,ESPECIALIDAD EN ADMINISTRACIÓN DE LA CONSTRUCCIÓN
